chat,topic,kept_messages
Digital_nomad_Испания_2026-09-06,bank_insurance,2156
Digital_nomad_Испания_2026-09-06,consulate_entry,1701
Digital_nomad_Испания_2026-09-06,digital_tools,288
Digital_nomad_Испания_2026-09-06,dnv_general,2093
Digital_nomad_Испания_2026-09-06,documents,4042
Digital_nomad_Испания_2026-09-06,family,390
Digital_nomad_Испания_2026-09-06,income_work,3938
Digital_nomad_Испания_2026-09-06,prodlenie,415
Digital_nomad_Испания_2026-09-06,taxes,2164
Digital_nomad_Испания_2026-09-06,tie_nie_huella,1520
Digital_nomad_Испания_2026-09-06,uge_status,203
Espánium_2026-09-06,bank_insurance,104
Espánium_2026-09-06,consulate_entry,120
Espánium_2026-09-06,digital_tools,30
Espánium_2026-09-06,dnv_general,199
Espánium_2026-09-06,documents,213
Espánium_2026-09-06,family,84
Espánium_2026-09-06,income_work,204
Espánium_2026-09-06,prodlenie,107
Espánium_2026-09-06,taxes,81
Espánium_2026-09-06,tie_nie_huella,119
Espánium_2026-09-06,uge_status,75
Живу_в_Испании_Чат_2026-09-06,bank_insurance,754
Живу_в_Испании_Чат_2026-09-06,consulate_entry,403
Живу_в_Испании_Чат_2026-09-06,digital_tools,122
Живу_в_Испании_Чат_2026-09-06,dnv_general,962
Живу_в_Испании_Чат_2026-09-06,documents,1401
Живу_в_Испании_Чат_2026-09-06,family,211
Живу_в_Испании_Чат_2026-09-06,income_work,1360
Живу_в_Испании_Чат_2026-09-06,prodlenie,618
Живу_в_Испании_Чат_2026-09-06,taxes,795
Живу_в_Испании_Чат_2026-09-06,tie_nie_huella,552
Живу_в_Испании_Чат_2026-09-06,uge_status,258
Закрытый_чат_Продление_2026-09-06,bank_insurance,682
Закрытый_чат_Продление_2026-09-06,consulate_entry,121
Закрытый_чат_Продление_2026-09-06,digital_tools,100
Закрытый_чат_Продление_2026-09-06,dnv_general,411
Закрытый_чат_Продление_2026-09-06,documents,1282
Закрытый_чат_Продление_2026-09-06,family,68
Закрытый_чат_Продление_2026-09-06,income_work,975
Закрытый_чат_Продление_2026-09-06,prodlenie,922
Закрытый_чат_Продление_2026-09-06,taxes,607
Закрытый_чат_Продление_2026-09-06,tie_nie_huella,374
Закрытый_чат_Продление_2026-09-06,uge_status,161
Чат_ВНЖ_Digital_Nomad_2026-09-06,bank_insurance,13379
Чат_ВНЖ_Digital_Nomad_2026-09-06,consulate_entry,9207
Чат_ВНЖ_Digital_Nomad_2026-09-06,digital_tools,2048
Чат_ВНЖ_Digital_Nomad_2026-09-06,dnv_general,8912
Чат_ВНЖ_Digital_Nomad_2026-09-06,documents,25956
Чат_ВНЖ_Digital_Nomad_2026-09-06,family,2181
Чат_ВНЖ_Digital_Nomad_2026-09-06,income_work,22861
Чат_ВНЖ_Digital_Nomad_2026-09-06,prodlenie,2192
Чат_ВНЖ_Digital_Nomad_2026-09-06,taxes,10974
Чат_ВНЖ_Digital_Nomad_2026-09-06,tie_nie_huella,10595
Чат_ВНЖ_Digital_Nomad_2026-09-06,uge_status,1709
